央视,#genre#
东南卫视,http://192.168.200.1:8888/udp/239.76.245.190:1234
甘肃卫视,http://192.168.200.1:8888/udp/239.76.246.94:1234
青海卫视,http://192.168.200.1:8888/udp/239.76.247.132:1234
三沙卫视,http://192.168.200.1:8888/udp/239.76.246.74:1234
山东卫视,http://192.168.200.1:8888/udp/239.76.246.195:1234
陕西卫视,http://192.168.200.1:8888/udp/239.76.247.76:1234
深圳卫视,http://192.168.200.1:8888/udp/239.76.246.188:1234
海南卫视,http://192.168.200.1:8888/udp/239.76.246.203:1234
四川卫视,http://192.168.200.1:8888/udp/239.76.246.91:1234
天津卫视,http://192.168.200.1:8888/udp/239.76.246.185:1234
广东卫视,http://192.168.200.1:8888/udp/239.76.245.189:1234
广西卫视,http://192.168.200.1:8888/udp/239.76.247.54:1234
贵州卫视,http://192.168.200.1:8888/udp/239.76.245.198:1234
河北卫视,http://192.168.200.1:8888/udp/239.76.245.199:1234
河南卫视,http://192.168.200.1:8888/udp/239.76.246.202:1234
黑龙江卫视,http://192.168.200.1:8888/udp/239.76.246.200:1234
湖北卫视,http://192.168.200.1:8888/udp/239.76.246.193:1234
辽宁卫视,http://192.168.200.1:8888/udp/239.76.245.197:1234
吉林卫视,http://192.168.200.1:8888/udp/239.76.246.201:1234
江苏卫视,http://192.168.200.1:8888/udp/239.76.246.181:1234
江西卫视,http://192.168.200.1:8888/udp/239.76.245.225:1234
云南卫视,http://192.168.200.1:8888/udp/239.76.247.60:1234
山西卫视,http://192.168.200.1:8888/udp/239.76.252.105:9000
内蒙古卫视,http://192.168.200.1:8888/udp/239.76.252.106:9000
宁夏卫视,http://192.168.200.1:8888/udp/239.76.252.107:9000
西藏卫视,http://192.168.200.1:8888/udp/239.76.252.108:9000
新疆卫视,http://192.168.200.1:8888/udp/239.76.252.109:9000
厦门卫视,http://192.168.200.1:8888/udp/239.76.252.231:9000
兵团卫视,http://192.168.200.1:8888/udp/239.76.252.232:9000
三沙卫视,http://192.168.200.1:8888/udp/239.76.253.74:9000
山东教育,http://192.168.200.1:8888/udp/239.76.252.191:9000

北京卫视,http://ip.52kk.vip:4022/udp/239.76.253.184:9000$湖南电信
北京卫视,http://ip.52kk.vip:4022/udp/239.76.246.184:1234$湖南电信
东方卫视,http://ip.52kk.vip:4022/udp/239.76.253.186:9000$湖南电信
江苏卫视,http://ip.52kk.vip:4022/udp/239.76.253.181:9000$湖南电信
浙江卫视,http://ip.52kk.vip:4022/udp/239.76.253.182:9000$湖南电信
安徽卫视,http://ip.52kk.vip:4022/udp/239.76.252.196:9000$湖南电信
黑龙江卫视,http://ip.52kk.vip:4022/udp/239.76.253.200:9000$湖南电信
天津卫视,http://ip.52kk.vip:4022/udp/239.76.253.185:9000$湖南电信
江西卫视,http://ip.52kk.vip:4022/udp/239.76.252.225:9000$湖南电信
深圳卫视,http://ip.52kk.vip:4022/udp/239.76.253.188:9000$湖南电信
辽宁卫视,http://ip.52kk.vip:4022/udp/239.76.252.197:9000$湖南电信
